"","month","name","item","price.mean"
"75","2011-08","상추",214,1470.333283859
"76","2011-08","쌀",111,44059.6363636364
"77","2011-08","양파",245,1457.44696969697
"78","2011-08","참깨 ",312,11825.6363636364
"79","2011-08","파프리카",256,984.229418569936
"80","2011-08","호박",224,2125.23907999289
"81","2011-09","닭고기",515,5890.31740740741
"82","2011-09","돼지고기",514,1944.28333333333
"83","2011-09","배추",211,3300.98203699895
"84","2011-09","사과",411,23415.3170091755
"85","2011-09","상추",214,1048.31003205622
"86","2011-09","쌀",111,44021.1333333333
"87","2011-09","양파",245,1519.01333333333
"88","2011-09","참깨 ",312,11792
"89","2011-09","파프리카",256,1363.8383908046
"90","2011-09","호박",224,1702.82553432424
"91","2011-10","닭고기",515,5751.01762108262
"92","2011-10","돼지고기",514,1737.61666666667
"93","2011-10","배추",211,2264.53096744419
"94","2011-10","사과",411,19180.1671245421
"95","2011-10","상추",214,762.559954774386
"96","2011-10","쌀",111,43514.4725446121
"97","2011-10","양파",245,1402.435
"98","2011-10","참깨 ",312,11712
"99","2011-10","파프리카",256,1341.46833333333
"100","2011-10","호박",224,1324.92922932331
"101","2011-11","닭고기",515,6046.27921607378
"102","2011-11","돼지고기",514,1714.20010449321
"103","2011-11","배추",211,1444.16596519263
"104","2011-11","사과",411,27094.8575036075
"105","2011-11","상추",214,709.498822638971
"106","2011-11","쌀",111,44280.1515151515
"107","2011-11","양파",245,1503.85454545455
"108","2011-11","참깨 ",312,11584.7272727273
"109","2011-11","파프리카",256,1167.56515151515
"110","2011-11","호박",224,1747.32612781955
"111","2011-12","닭고기",515,5356.73381495048
"112","2011-12","돼지고기",514,2029.38412698413
"113","2011-12","배추",211,1219.89728305511
"114","2011-12","사과",411,27923.018707483
"115","2011-12","상추",214,857.779305513228
"116","2011-12","쌀",111,43802.0634920635
"117","2011-12","양파",245,1517.07142857143
"118","2011-12","참깨 ",312,11972.4444444444
"119","2011-12","파프리카",256,1140.60476190476
"120","2011-12","호박",224,1645.28283969365
"121","2012-01","닭고기",515,5160.54860602361
"122","2012-01","돼지고기",514,1846.58333333333
"123","2012-01","배추",211,1319.04760144928
"124","2012-01","사과",411,28706.8530462185
"125","2012-01","상추",214,1041.38349287162
"126","2012-01","쌀",111,43875.6666666667
"127","2012-01","양파",245,1504.02833333333
"128","2012-01","참깨 ",312,12893.3333333333
"129","2012-01","파프리카",256,1355.865
"130","2012-01","호박",224,1973.35611894155
"131","2012-02","닭고기",515,5606.41108625268
"132","2012-02","돼지고기",514,1663.4749034749
"133","2012-02","배추",211,1885.23985914555
"134","2012-02","사과",411,26033.9913890064
"135","2012-02","상추",214,799.38536057517
"136","2012-02","쌀",111,44030.9523809524
"137","2012-02","양파",245,1460.55358533804
"138","2012-02","참깨 ",312,12657.7498691784
"139","2012-02","파프리카",256,1397.59731892757
"140","2012-02","호박",224,1855.20163378681
"141","2012-03","닭고기",515,6316.91418385536
"142","2012-03","돼지고기",514,1632.03417703418
"143","2012-03","배추",211,3154.15539870757
"144","2012-03","사과",411,27806.3336118073
"145","2012-03","상추",214,719.619044610019
"146","2012-03","쌀",111,43900.4504504505
"147","2012-03","양파",245,1422.11922636923
"148","2012-03","참깨 ",312,12924.0816326531
"149","2012-03","파프리카",256,1278.21720021342
"150","2012-03","호박",224,1842.83431815265
"151","2012-04","닭고기",515,5954.40118734444
"152","2012-04","돼지고기",514,1590.01351351351
"153","2012-04","배추",211,3418.39078625883
"154","2012-04","사과",411,29107.0269423559
"155","2012-04","상추",214,660.330726289105
"156","2012-04","쌀",111,43995
"157","2012-04","양파",245,1356.525780891
"158","2012-04","참깨 ",312,12944.2857142857
"159","2012-04","파프리카",256,1198.77743230626
"160","2012-04","호박",224,1329.44724098212
"161","2012-05","닭고기",515,5479.61277333514
"162","2012-05","돼지고기",514,1679.0990990991
"163","2012-05","배추",211,2707.49378646045
"164","2012-05","사과",411,32341.6904761905
"165","2012-05","상추",214,702.49190200788
"166","2012-05","쌀",111,44051.4671814672
"167","2012-05","양파",245,1645.41205491205
"168","2012-05","참깨 ",312,13032.9931972789
"169","2012-05","파프리카",256,1066.60952380952
"170","2012-05","호박",224,978.150672148835
"171","2012-06","닭고기",515,5501.81800556644
"172","2012-06","돼지고기",514,1886.58070570571
"173","2012-06","배추",211,2195.05897285484
"174","2012-06","사과",411,34997.3331343064
"175","2012-06","상추",214,642.197212563899
"176","2012-06","쌀",111,43760.2702702703
"177","2012-06","양파",245,1712.55322822823
"178","2012-06","참깨 ",312,13482.1428571429
"179","2012-06","파프리카",256,901.60003968254
"180","2012-06","호박",224,805.558333333333
"181","2012-07","닭고기",515,6024.084265111
"182","2012-07","돼지고기",514,1880.14742014742
"183","2012-07","배추",211,2808.52297981878
"184","2012-07","사과",411,37079.5960705961
"185","2012-07","상추",214,854.951153098083
"186","2012-07","쌀",111,43439.4594594595
"187","2012-07","양파",245,1680.21621621622
"188","2012-07","참깨 ",312,13429.4155844156
"189","2012-07","파프리카",256,784.230916305916
"190","2012-07","호박",224,779.447033358798
"191","2012-08","닭고기",515,6182.13085940855
"192","2012-08","돼지고기",514,1757.88697788698
"193","2012-08","배추",211,2928.24481248086
"194","2012-08","사과",411,29298.2628175607
"195","2012-08","상추",214,1131.93941435752
"196","2012-08","쌀",111,43459.1154791155
"197","2012-08","양파",245,1723.76904176904
"198","2012-08","참깨 ",312,13265
"199","2012-08","파프리카",256,769.839544089544
"200","2012-08","호박",224,1336.4744116443
"201","2012-09","닭고기",515,5424.83735570841
"202","2012-09","돼지고기",514,1756.68918918919
"203","2012-09","배추",211,3592.20796516422
"204","2012-09","사과",411,25230.5400741487
"205","2012-09","상추",214,2040.86417708623
"206","2012-09","쌀",111,43581.3513513513
"207","2012-09","양파",245,1719.65232732733
"208","2012-09","참깨 ",312,12971.0769230769
"209","2012-09","파프리카",256,937.399286786787
"210","2012-09","호박",224,2697.80248300865
"211","2012-10","닭고기",515,5922.42273045582
"212","2012-10","돼지고기",514,1469.18632918633
"213","2012-10","배추",211,3663.30034353125
"214","2012-10","사과",411,23643.5475641135
"215","2012-10","상추",214,1048.53569380018
"216","2012-10","쌀",111,43818.6583211159
"217","2012-10","양파",245,1693.74774774775
"218","2012-10","참깨 ",312,12777.6923076923
"219","2012-10","파프리카",256,985.534677534677
"220","2012-10","호박",224,1404.74712688106
"221","2012-11","닭고기",515,5893.0490230383
"222","2012-11","돼지고기",514,1470.46887796888
"223","2012-11","배추",211,2853.80535337056
"224","2012-11","사과",411,24547.1413985052
"225","2012-11","상추",214,795.67580446254
"226","2012-11","쌀",111,46325.4176904177
"227","2012-11","양파",245,1820.63233688234
"228","2012-11","참깨 ",312,12776.9230769231
"229","2012-11","파프리카",256,1021.01837331984
"230","2012-11","호박",224,1538.70218044243
"231","2012-12","닭고기",515,5558.57149815089
"232","2012-12","돼지고기",514,1497.56756756757
"233","2012-12","배추",211,3260.20869493349
"234","2012-12","사과",411,25159.2776057792
"235","2012-12","상추",214,839.292996595275
"236","2012-12","쌀",111,46210.9530583215
"237","2012-12","양파",245,1940.11379800853
"238","2012-12","참깨 ",312,12769.2307692308
"239","2012-12","파프리카",256,943.157499604868
"240","2012-12","호박",224,1758.31096067649
"241","2013-01","닭고기",515,5645.6825402115
"242","2013-01","돼지고기",514,1446.10565110565
"243","2013-01","배추",211,3852.78817461542
"244","2013-01","사과",411,24695.188979816
"245","2013-01","상추",214,1049.55328943873
"246","2013-01","쌀",111,46211.9164619165
"247","2013-01","양파",245,2148.59950859951
"248","2013-01","참깨 ",312,12769.2307692308
"249","2013-01","파프리카",256,1091.98167485667
"250","2013-01","호박",224,1818.48823956353
"251","2013-02","닭고기",515,5817.67080384785
"252","2013-02","돼지고기",514,1416.74253200569
"253","2013-02","배추",211,3917.20080386725
"254","2013-02","사과",411,24882.6808725321
"255","2013-02","상추",214,889.732258277272
"256","2013-02","쌀",111,46495.0213371266
"257","2013-02","양파",245,2706.55761024182
"258","2013-02","참깨 ",312,13244.997108155
"259","2013-02","파프리카",256,1155.89647542279
"260","2013-02","호박",224,1915.94785536897
"261","2013-03","닭고기",515,6357.57434071502
"262","2013-03","돼지고기",514,1291.88288288288
"263","2013-03","배추",211,4035.38786764706
"264","2013-03","사과",411,23864.0271652422
"265","2013-03","상추",214,607.907939596214
"266","2013-03","쌀",111,46578.9189189189
"267","2013-03","양파",245,2966.59459459459
"268","2013-03","참깨 ",312,13078.3928571429
"269","2013-03","파프리카",256,1057.38626126126
"270","2013-03","호박",224,1509.17263581489
"271","2013-04","닭고기",515,6064.69892725909
"272","2013-04","돼지고기",514,1432.86713286713
"273","2013-04","배추",211,4087.98809467099
"274","2013-04","사과",411,24330.4274614892
"275","2013-04","상추",214,633.239329839912
"276","2013-04","쌀",111,46812.1212121212
"277","2013-04","양파",245,3408.22483177334
"278","2013-04","참깨 ",312,13023.0949197861
"279","2013-04","파프리카",256,930.384615384615
"280","2013-04","호박",224,1204.61291650502
"281","2013-05","닭고기",515,5362.31658724096
"282","2013-05","돼지고기",514,1557.06991838571
"283","2013-05","배추",211,3024.6379189106
"284","2013-05","사과",411,25639.4517811447
"285","2013-05","상추",214,617.013652808206
"286","2013-05","쌀",111,46621.1811580233
"287","2013-05","양파",245,3569.20634920635
"288","2013-05","참깨 ",312,13585.8191889196
"289","2013-05","파프리카",256,752.645556198188
"290","2013-05","호박",224,991.01223102802
"291","2013-06","닭고기",515,5855.32497911445
"292","2013-06","돼지고기",514,1754.33198380567
"293","2013-06","배추",211,2729.88216184295
"294","2013-06","사과",411,26026.7036844986
"295","2013-06","상추",214,641.867052613024
"296","2013-06","쌀",111,46801.7543859649
"297","2013-06","양파",245,2413.5951417004
"298","2013-06","참깨 ",312,13503.1989063568
"299","2013-06","파프리카",256,720.275623268698
"300","2013-06","호박",224,1224.86503850642
"301","2013-07","닭고기",515,6279.59277776709
"302","2013-07","돼지고기",514,1916.82772985977
"303","2013-07","배추",211,2832.34960627135
"304","2013-07","사과",411,27306.9781191993
"305","2013-07","상추",214,1063.3560036481
"306","2013-07","쌀",111,46680.8249721293
"307","2013-07","양파",245,1932.31884057971
"308","2013-07","참깨 ",312,13506.6666666667
"309","2013-07","파프리카",256,744.951417004049
"310","2013-07","호박",224,1375.2557389869
"311","2013-08","닭고기",515,6040.02522285981
"312","2013-08","돼지고기",514,1829.92673992674
"313","2013-08","배추",211,4080.40561283425
"314","2013-08","사과",411,26034.6251540806
"315","2013-08","상추",214,1258.4817249069
"316","2013-08","쌀",111,46827.4725274725
"317","2013-08","양파",245,1796.31257631258
"318","2013-08","참깨 ",312,13490.3401360544
"319","2013-08","파프리카",256,766.840048840049
"320","2013-08","호박",224,1543.53188975121
"321","2013-09","닭고기",515,5727.56498814832
"322","2013-09","돼지고기",514,1833.21937321937
"323","2013-09","배추",211,4571.91948014728
"324","2013-09","사과",411,23429.4619123658
"325","2013-09","상추",214,1051.83947073159
"326","2013-09","쌀",111,46799.5726495726
"327","2013-09","양파",245,1898.58974358974
"328","2013-09","참깨 ",312,13280.4761904762
"329","2013-09","파프리카",256,908.575498575499
"330","2013-09","호박",224,1344.58735909823
"331","2013-10","닭고기",515,6392.81718546004
"332","2013-10","돼지고기",514,1600.13431013431
"333","2013-10","배추",211,2772.32648257821
"334","2013-10","사과",411,19114.254848952
"335","2013-10","상추",214,964.822689766899
"336","2013-10","쌀",111,46615.0878294261
"337","2013-10","양파",245,1865.99511599512
"338","2013-10","참깨 ",312,13211.8820861678
"339","2013-10","파프리카",256,841.582610372084
"340","2013-10","호박",224,1246.42002101337
"341","2013-11","닭고기",515,6207.84620514873
"342","2013-11","돼지고기",514,1533.63858363858
"343","2013-11","배추",211,2000.34442724278
"344","2013-11","사과",411,20108.0677685259
"345","2013-11","상추",214,816.931643625192
"346","2013-11","쌀",111,46910.725444936
"347","2013-11","양파",245,1856.65445665446
"348","2013-11","참깨 ",312,13095.3287981859
"349","2013-11","파프리카",256,768.23674571043
"350","2013-11","호박",224,1070.46693793175
"351","2013-12","닭고기",515,5900.76233190519
"352","2013-12","돼지고기",514,1690.54077501446
"353","2013-12","배추",211,2440.32972689822
"354","2013-12","사과",411,21255.5944600062
"355","2013-12","상추",214,702.491595527688
"356","2013-12","쌀",111,46717.5824175824
"357","2013-12","양파",245,1852.27106227106
"358","2013-12","참깨 ",312,12931.4965986395
"359","2013-12","파프리카",256,852.617826617827
"360","2013-12","호박",224,1215.2298644473
